PersonID,Condition,PrePostDepletion,Mean Consumption,Rounds,Starting value,Knows Opp,Friends,Knows Friends
68,0,0,23.3,3,1,1,1,2
69,0,0,21.6,3,1,1,1,2
70,0,0,25,3,1,1,1,2
71,0,0,32.5,2,1,1,1,2
72,0,0,20.5,2,1,1,1,2
73,0,0,100,1,1,0,0,0
74,0,0,59,1,1,0,0,0
75,0,0,20,1,1,0,0,0
76,0,0,32,1,1,0,0,0
77,0,0,17,2,1,1,1,2
78,0,0,62.5,2,1,1,1,2
79,0,0,21.6,3,1,0,0,0
80,0,0,16,3,1,0,0,0
81,0,0,40,1,1,1,1,2
82,0,0,22,1,1,1,1,2
83,0,0,27.5,2,1,0,0,0
84,0,0,25,2,1,0,0,0
85,0,0,25,8,1,1,1,2
86,0,0,22,8,1,1,1,2
87,0,0,25,1,1,1,1,2
88,0,0,35,1,1,1,1,2
89,0,0,28.75,4,1,0,0,0
90,0,0,12.5,4,1,0,0,0
91,0,0,25,1,1,1,1,2
92,0,0,30,1,1,1,1,2
93,0,0,35,3,1,0,0,0
94,0,0,20,3,1,0,0,0
95,0,0,22.5,8,1,0,0,0
96,0,0,22.63,8,1,0,0,0
97,0,0,60,1,1,1,1,2
98,0,0,48,1,1,1,1,2
99,0,0,45,1,1,0,0,0
100,0,0,27,1,1,0,0,0
101,0,0,21.6,3,1,1,1,2
102,0,0,30,3,1,1,1,2
103,0,0,30,1,1,1,1,2
104,0,0,25,1,1,0,0,0
105,0,0,28.5,2,1,0,0,0
106,0,0,20,2,1,0,0,0
107,0,0,25.4,5,1,1,1,2
108,0,0,18.6,5,1,1,1,2
109,0,0,30,1,1,1,1,2
110,0,0,25,1,1,1,1,2
111,0,0,30,3,1,1,1,2
112,0,0,25,3,1,1,1,2
113,0,0,15,2,1,0,0,0
114,0,0,26.5,2,1,0,0,0
117,1,0,70,1,2,1,1,2
118,1,0,20,1,2,1,1,2
119,1,0,30,1,0,0,1,1
120,1,0,70,1,0,0,1,1
121,1,0,50,1,0,0,1,1
122,1,0,50,1,0,0,1,1
123,1,0,6,2,0,0,0,0
124,1,0,31,2,0,0,0,0
125,1,0,25,1,0,1,1,2
126,1,0,30,1,0,1,1,2
127,1,0,13.3,3,0,0,0,0
128,1,0,18.3,3,0,0,0,0
129,1,0,22.5,4,2,0,0,0
130,1,0,28.75,4,2,0,0,0
131,1,0,40,1,2,0,0,0
132,1,0,70,1,2,0,1,1
133,1,0,45,2,0,1,1,2
134,1,0,20,2,0,1,1,2
135,1,0,50,3,0,1,1,2
136,1,0,47,3,0,1,1,2
137,1,0,25,3,2,0,0,0
138,1,0,35,3,2,0,0,0
139,1,0,35,1,0,1,1,2
140,1,0,20,1,0,1,1,2
143,1,0,47.5,2,2,0,0,0
144,1,0,24,2,2,0,0,0
145,1,0,3,1,2,0,0,0
146,1,0,85,1,2,0,0,0
147,1,0,80,1,0,1,1,2
148,1,0,60,1,0,1,1,2
149,1,0,12.5,2,0,0,0,0
150,1,0,32.5,2,0,0,0,0
151,1,0,40,1,2,1,1,2
152,1,0,25,1,2,1,1,2
155,1,0,28.75,4,2,1,1,2
156,1,0,23.75,4,2,1,1,2
157,1,0,60,1,2,0,0,0
158,1,0,30,1,2,0,0,0
159,1,0,40,1,0,0,0,0
160,1,0,40,1,0,0,1,1
161,1,0,23.3,3,2,0,0,0
162,1,0,33.3,3,2,0,0,0
163,1,0,30,2,0,0,0,0
164,1,0,17.5,2,0,0,0,0
169,1,0,120,1,2,1,1,2
170,1,0,60,1,2,1,1,2
171,1,0,95,1,0,0,0,0
172,1,0,60,1,0,0,0,0
173,1,0,40,1,2,0,0,0
174,1,0,45,1,2,0,0,0
179,1,0,36.6,3,2,1,1,2
180,1,0,8.6,3,2,1,1,2
181,1,0,15,1,2,0,0,0
182,1,0,60,1,2,0,0,0
